Date,High,Low,SPY Close
5/12/2015,210.6300049,208.6199951,190.0145721
5/13/2015,211.2200012,209.7400055,190.050766
5/14/2015,212.3200073,210.9100037,192.0325317
5/15/2015,212.6100006,211.8600006,192.2406616
5/18/2015,213.3999939,212.1600037,192.8379211
5/19/2015,213.5700073,212.6900024,192.7745667
5/20/2015,213.7799988,212.5,192.6388245
5/21/2015,213.75,212.5099945,193.1998444
5/22/2015,213.5399933,212.9100037,192.7383881
5/26/2015,212.9100037,210.1999969,190.6660919
5/27/2015,212.9799957,210.7599945,192.4759369
5/28/2015,212.5899963,211.6300049,192.2588043
5/29/2015,212.4299927,210.8200073,191.0642853
6/1/2015,212.3399963,210.6199951,191.4534149
6/2/2015,212.1900024,210.2700043,191.2633362
6/3/2015,212.6699982,211.3300018,191.7700958
6/4/2015,211.8600006,209.75,190.1503143
6/5/2015,210.5800018,208.9799957,189.8245239
6/8/2015,209.8200073,208.3899994,188.6572113
6/9/2015,209.1000061,207.6900024,188.6299744
6/10/2015,211.4100037,209.3000031,190.892334
6/11/2015,212.0899963,211.1999969,191.5076752
6/12/2015,211.4799957,209.6799927,190.0417328
6/15/2015,209.4499969,207.7899933,189.2272797
6/16/2015,210.3500061,208.7200012,190.2588959
6/17/2015,211.3200073,209.3600006,190.5665588
6/18/2015,213.3399963,210.6300049,192.5483398
6/19/2015,211.5500031,210.3600006,191.6935577
6/22/2015,212.5899963,211.6399994,192.6756439
6/23/2015,212.4400024,211.5700073,192.8120575
6/24/2015,212.1699982,210.4700012,191.4116821
6/25/2015,211.25,209.7700043,190.8297272
6/26/2015,210.5800018,209.1600037,190.7933197
6/29/2015,209.8300018,205.3300018,186.7923737
6/30/2015,207.3200073,205.2799988,187.1833649
7/1/2015,208.0299988,206.5599976,188.6837006
7/2/2015,208.2700043,206.8099976,188.5109406
7/6/2015,207.6499939,205.5299988,187.9744873
7/7/2015,208.1699982,204.1100006,189.156601
7/8/2015,206.7599945,204.25,185.9830322
7/9/2015,207.3500061,204.7700043,186.3195038
7/10/2015,207.9799957,204.9499969,188.6655273
7/13/2015,209.8999939,208.9400024,190.747879
7/14/2015,211.0500031,209.6499939,191.5753784
7/15/2015,211.2799988,210.0399933,191.5117188
7/16/2015,212.3000031,211.5800018,193.0484619
7/17/2015,212.5500031,211.8000031,193.2121582
7/20/2015,213.1799927,212.2100067,193.312149
7/21/2015,212.7400055,211.3899994,192.5483398
7/22/2015,211.7700043,210.8899994,192.202774
7/23/2015,211.6499939,209.75,191.120697
7/24/2015,210.3699951,207.6000061,189.1384277
7/27/2015,207.5500031,206.2599945,188.0380707
7/28/2015,209.5,206.8000031,190.3477936
7/29/2015,211.0399933,209.3099976,191.6571808
7/30/2015,211.0200043,209.4199982,191.7026978
7/31/2015,211.4499969,210.1600037,191.4116821
8/3/2015,210.5299988,208.6499939,190.7660522
8/4/2015,210.25,208.8000031,190.3932953
8/5/2015,211.3099976,209.7299957,191.0206757
8/6/2015,210.4199982,207.6499939,189.456665
8/7/2015,208.3399963,206.8699951,189.0928955
8/10/2015,210.6699982,209.2799988,191.4753418
8/11/2015,209.4700012,207.7599945,189.7476654
8/12/2015,209.1399994,205.3600006,189.9749451
8/13/2015,209.5500031,208.0099945,189.7385254
8/14/2015,209.5099945,208.2599945,190.4296265
8/17/2015,210.5899963,208.1600037,191.493515
8/18/2015,210.6799927,209.6999969,190.9388428
8/19/2015,210.0099945,207.3500061,189.4293671
8/20/2015,208.2899933,203.8999939,185.4738617
8/21/2015,203.9400024,197.5200043,179.8905792
8/24/2015,197.4799957,182.3999939,172.3159637
8/25/2015,195.4499969,186.9199982,170.2882385
8/26/2015,194.7899933,188.3699951,176.8262177
8/27/2015,199.4199982,195.2100067,181.200058
8/28/2015,199.8399963,197.9199982,181.209137
8/31/2015,199.1300049,197.0099945,179.7451172
9/1/2015,194.7700043,190.7299957,174.380127
9/2/2015,195.4600067,192.4199982,177.6900787
9/3/2015,198.0500031,194.9600067,177.8173676
9/4/2015,193.8600006,191.6100006,175.1257935
9/8/2015,197.6100006,195.1699982,179.526886
9/9/2015,199.4700012,194.3500061,177.1263123
9/10/2015,197.2200012,194.25,178.0901489
9/11/2015,196.8200073,194.5299988,178.8994751
9/14/2015,197.0099945,195.4299927,178.2356567
9/15/2015,198.9900055,195.9600067,180.4634857
9/16/2015,200.4100037,198.4100037,182.0274811
