Date,GOLDAMGBD228NLBM
1/19/18,1335.8
1/22/18,1334.15
1/23/18,1337.1
1/24/18,1350.5
1/25/18,1360.25
1/26/18,1354.35
1/29/18,1348.4
1/30/18,1345.7
1/31/18,1343.35
2/1/18,1341.1
2/2/18,1345
2/5/18,1337.1
2/6/18,1344.65
2/7/18,1328.5
2/8/18,1311.05
2/9/18,1316.05
2/12/18,1321.7
2/13/18,1329.4
2/14/18,1330.75
2/15/18,1353.7
2/16/18,1358.6
2/19/18,1347.4
2/20/18,1337.4
2/21/18,1328.6
2/22/18,1323.5
2/23/18,1328.9
2/26/18,1339.05
2/27/18,1332.75
2/28/18,1320.3
3/1/18,1311.25
3/2/18,1316.75
3/5/18,1326.3
3/6/18,1324.95
3/7/18,1332.5
3/8/18,1325.4
3/9/18,1319.35
3/12/18,1317.25
3/13/18,1318.7
3/14/18,1324.95
3/15/18,1323.35
3/16/18,1320.05
3/19/18,1311.7
3/20/18,1312.75
3/21/18,1316.35
3/22/18,1328.85
3/23/18,1342.35
3/26/18,1348.4
3/27/18,1350.65
3/28/18,1341.05
3/29/18,1323.9
3/30/18,.
4/2/18,.
4/3/18,1336.6
4/4/18,1343.15
4/5/18,1327.05
4/6/18,1325.6
4/9/18,1328.5
4/10/18,1335.95
4/11/18,1345.2
4/12/18,1345.9
4/13/18,1340.75
4/16/18,1344.4
4/17/18,1342.95
4/18/18,1346.55
4/19/18,1347.9
4/20/18,1340.15
4/23/18,1328
4/24/18,1327.35
4/25/18,1325.7
4/26/18,1321.9
4/27/18,1317.7
4/30/18,1316.25
5/1/18,1309.2
5/2/18,1310.75
5/3/18,1313.3
5/4/18,1309.35
5/7/18,.
5/8/18,1310.05
5/9/18,1306.85
5/10/18,1314.8
5/11/18,1324.8
5/14/18,1320.7
5/15/18,1310.05
5/16/18,1291.75
5/17/18,1288.85
5/18/18,1287.2
5/21/18,1285.85
5/22/18,1293.9
5/23/18,1294
5/24/18,1296.35
5/25/18,1303.95
5/28/18,.
5/29/18,1302.05
5/30/18,1298.6
5/31/18,1303.5
6/1/18,1299.15
6/4/18,1294.65
6/5/18,1292.25
6/6/18,1295.25
6/7/18,1298.3
6/8/18,1299.2
6/11/18,1296.05
6/12/18,1298.3
6/13/18,1294.4
6/14/18,1305.3
6/15/18,1300.1
6/18/18,1281.25
6/19/18,1279
6/20/18,1273.25
6/21/18,1263.7
6/22/18,1269.7
6/25/18,1269.8
6/26/18,1257.15
6/27/18,1256.8
6/28/18,1250.5
6/29/18,1250.55
7/2/18,1249
7/3/18,1245.85
7/4/18,1256.9
7/5/18,1252.5
7/6/18,1254.2
7/9/18,1262.6
7/10/18,1253.7
7/11/18,1250
7/12/18,1244.85
7/13/18,1240.5
7/16/18,1244.9
7/17/18,1243.65
7/18/18,1223.45
7/19/18,1217.4
7/20/18,1224.85
7/23/18,1229.45
7/24/18,1224.3
7/25/18,1230.55
7/26/18,1228.35
7/27/18,1219.15
7/30/18,1222.05
7/31/18,1219.2
8/1/18,1222.75
8/2/18,1217.6
8/3/18,1207.7
8/6/18,1212
8/7/18,1215.4
8/8/18,1212.35
8/9/18,1215.5
8/10/18,1211.65
8/13/18,1204.4
8/14/18,1195.3
8/15/18,1186.7
8/16/18,1179.65
8/17/18,1176.7
8/20/18,1188.75
8/21/18,1194.1
8/22/18,1196.85
8/23/18,1187.3
8/24/18,1189.95
8/27/18,.
8/28/18,1212.75
8/29/18,1204.3
8/30/18,1202.35
8/31/18,1206.85
9/3/18,1201.7
9/4/18,1195.75
9/5/18,1194.7
9/6/18,1204.3
9/7/18,1200.75
9/10/18,1195.8
9/11/18,1194
9/12/18,1197.8
9/13/18,1206.65
9/14/18,1206.2
9/17/18,1196.8
9/18/18,1199.4
9/19/18,1203
9/20/18,1203
9/21/18,1207.6
9/24/18,1198.75
9/25/18,1199.45
9/26/18,1198.8
9/27/18,1196
9/28/18,1183.5
10/1/18,1185.3
10/2/18,1192.65
10/3/18,1203.5
10/4/18,1199.45
10/5/18,1201.1
10/8/18,1194.8
10/9/18,1187.4
10/10/18,1186.4
10/11/18,1201.1
10/12/18,1218.75
10/15/18,1233
10/16/18,1228.85
10/17/18,1226.75
10/18/18,1224.6
10/19/18,1228.25
10/22/18,1222.9
10/23/18,1235.6
10/24/18,1231.65
10/25/18,1232.15
10/26/18,1236.05
10/29/18,1230.75
10/30/18,1220
10/31/18,1217.7
11/1/18,1223.25
11/2/18,1235.5
11/5/18,1231.6
11/6/18,1234.85
11/7/18,1235.05
11/8/18,1223.45
11/9/18,1219.05
11/12/18,1207.05
11/13/18,1197.55
11/14/18,1201.45
11/15/18,1210.6
11/16/18,1215.8
11/19/18,1223.55
11/20/18,1223.1
11/21/18,1224
11/22/18,1228.25
11/23/18,1222.15
11/26/18,1226.65
11/27/18,1225.05
11/28/18,1213.2
11/29/18,1226.45
11/30/18,1220.45
12/3/18,1231.05
12/4/18,1239.25
12/5/18,1236.15
12/6/18,1236.45
12/7/18,1241.2
12/10/18,1246.8
12/11/18,1248.25
12/12/18,1244.75
12/13/18,1244.45
12/14/18,1239.15
12/17/18,1239.1
12/18/18,1248.8
12/19/18,1248.6
12/20/18,1255
12/21/18,1257.6
12/24/18,1261.25
12/25/18,.
12/26/18,.
12/27/18,1271.1
12/28/18,1277.25
12/31/18,1281.65
1/1/19,.
1/2/19,1287.2
1/3/19,1287.95
1/4/19,1290.35
1/7/19,1291.5
1/8/19,1283.9
1/9/19,1281.3
1/10/19,1292.4
